transaction_id,customer_id,product_id,city,transaction_date,quantity,price,discount,revenue
1,642,108,Bangalore,2025-12-06,3,15000.0,0.1,40500.0
2,881,102,Bangalore,2025-07-21,5,70000.0,0.35,227500.0
3,505,109,Chennai,2025-07-11,2,65000.0,0.05,123500.0
4,794,106,Chennai,2025-10-06,2,80000.0,0.05,152000.0
5,864,108,Chennai,2025-12-12,1,15000.0,0.05,14250.0
6,181,101,Delhi,2025-07-25,5,250000.0,0.35,812500.0
7,142,101,Hyderabad,2026-03-03,2,250000.0,0.05,475000.0
8,457,102,Hyderabad,2026-02-19,1,70000.0,0.05,66500.0
9,749,110,Mumbai,2025-08-30,3,45000.0,0.3,94500.0
10,146,102,Bangalore,2025-12-16,2,70000.0,0.4,84000.0
11,946,104,Delhi,2025-12-15,4,8000.0,0.3,22400.0
12,757,106,Hyderabad,2025-06-30,3,80000.0,0.25,180000.0
13,838,109,Chennai,2025-06-14,5,65000.0,0.35,211250.0
14,117,109,Delhi,2026-02-24,5,65000.0,0.2,260000.0
15,923,109,Mumbai,2026-01-31,5,65000.0,0.25,243750.0
16,765,104,Bangalore,2025-08-20,5,8000.0,0.15,34000.0
17,570,102,Chennai,2025-05-19,3,70000.0,0.15,178500.0
18,973,108,Mumbai,2025-05-15,2,15000.0,0.15,25500.0
19,786,103,Chennai,2025-09-07,4,1300.0,0.2,4160.0
20,576,104,Delhi,2025-07-05,1,8000.0,0.15,6800.0
21,256,109,Chennai,2025-12-10,3,65000.0,0.05,185250.0
22,737,109,Delhi,2025-03-11,4,65000.0,0.4,156000.0
23,104,108,Hyderabad,2026-04-15,2,15000.0,0.25,22500.0
24,799,108,Delhi,2025-05-16,3,15000.0,0.25,33750.0
25,249,102,Bangalore,2025-08-29,1,70000.0,0.3,49000.0
26,149,106,Chennai,2026-01-28,1,80000.0,0.05,76000.0
27,927,105,Chennai,2025-11-13,5,45000.0,0.2,180000.0
28,868,107,Hyderabad,2025-11-12,1,50000.0,0.3,35000.0
29,1,109,Hyderabad,2025-06-28,2,65000.0,0.3,91000.0
30,980,106,Delhi,2025-07-10,5,80000.0,0.05,380000.0
